run,arrivalDelayMs
5,1163
5,1174
5,1177
5,1178
5,1198
5,1202
5,1207
5,1207
5,1213
5,1216
5,1221
5,1239
5,1247
5,1249
5,1273
5,1284
5,1285
5,1309
5,1362
5,1364
5,1369
5,1403
5,1413
5,1449
5,1469
5,1469
5,1610
5,1654
5,1915
5,1995
5,1995
5,2064
5,2073
5,2138
5,2141
5,2169
5,2203
5,2249
5,2249
5,2259
5,2269
5,2337
5,2388
5,2413
5,2449
5,2469
5,2477
5,2488
5,2492
5,2517
5,2587
5,2592
5,3598
